"","subject","activity","measurement","average"
"1",1,"walking","tBodyAcc-mean()-X",0.277330758736842
"2",1,"walking","tBodyAcc-mean()-Y",-0.0173838185273684
"3",1,"walking","tBodyAcc-mean()-Z",-0.111148103547368
"4",1,"walking","tBodyAcc-std()-X",-0.283740258842105
"5",1,"walking","tBodyAcc-std()-Y",0.114461336747368
"6",1,"walking","tBodyAcc-std()-Z",-0.260027902210526
"7",1,"walking","tGravityAcc-mean()-X",0.935223201473684
"8",1,"walking","tGravityAcc-mean()-Y",-0.282165021263158
"9",1,"walking","tGravityAcc-mean()-Z",-0.068102864
"10",1,"walking","tGravityAcc-std()-X",-0.976609642526316
"11",1,"walking","tGravityAcc-std()-Y",-0.971305961473684
"12",1,"walking","tGravityAcc-std()-Z",-0.947717226105263
"13",1,"walking","tBodyAccJerk-mean()-X",0.0740416333157895
"14",1,"walking","tBodyAccJerk-mean()-Y",0.0282721095884211
"15",1,"walking","tBodyAccJerk-mean()-Z",-0.00416840617789474
"16",1,"walking","tBodyAccJerk-std()-X",-0.113615602435789
"17",1,"walking","tBodyAccJerk-std()-Y",0.0670025007684211
"18",1,"walking","tBodyAccJerk-std()-Z",-0.502699788526316
"19",1,"walking","tBodyGyro-mean()-X",-0.041830963526
"20",1,"walking","tBodyGyro-mean()-Y",-0.0695300462115789
"21",1,"walking","tBodyGyro-mean()-Z",0.0849448173042105
"22",1,"walking","tBodyGyro-std()-X",-0.473535485894737
"23",1,"walking","tBodyGyro-std()-Y",-0.0546077686594737
"24",1,"walking","tBodyGyro-std()-Z",-0.344266629473684
"25",1,"walking","tBodyGyroJerk-mean()-X",-0.0899975423705263
"26",1,"walking","tBodyGyroJerk-mean()-Y",-0.0398428709463158
"27",1,"walking","tBodyGyroJerk-mean()-Z",-0.0461309295021053
"28",1,"walking","tBodyGyroJerk-std()-X",-0.207421854757895
"29",1,"walking","tBodyGyroJerk-std()-Y",-0.304468510631579
"30",1,"walking","tBodyGyroJerk-std()-Z",-0.404255452631579
"31",1,"walking","tBodyAccMag-mean()",-0.136971176556842
"32",1,"walking","tBodyAccMag-std()",-0.219688645631579
"33",1,"walking","tGravityAccMag-mean()",-0.136971176556842
"34",1,"walking","tGravityAccMag-std()",-0.219688645631579
"35",1,"walking","tBodyAccJerkMag-mean()",-0.141428809031579
"36",1,"walking","tBodyAccJerkMag-std()",-0.0744717500625263
"37",1,"walking","tBodyGyroMag-mean()",-0.160979552536842
"38",1,"walking","tBodyGyroMag-std()",-0.186978364526316
"39",1,"walking","tBodyGyroJerkMag-mean()",-0.298703679084211
"40",1,"walking","tBodyGyroJerkMag-std()",-0.325324878894737
"41",1,"walking","fBodyAcc-mean()-X",-0.202794306326316
"42",1,"walking","fBodyAcc-mean()-Y",0.0897127264021053
"43",1,"walking","fBodyAcc-mean()-Z",-0.331560117789474
"44",1,"walking","fBodyAcc-std()-X",-0.319134719578947
"45",1,"walking","fBodyAcc-std()-Y",0.056040006846
"46",1,"walking","fBodyAcc-std()-Z",-0.279686751494737
"47",1,"walking","fBodyAcc-meanFreq()-X",-0.207548374494737
"48",1,"walking","fBodyAcc-meanFreq()-Y",0.113093646103158
"49",1,"walking","fBodyAcc-meanFreq()-Z",0.0497265196172632
"50",1,"walking","fBodyAccJerk-mean()-X",-0.170546964549579
"51",1,"walking","fBodyAccJerk-mean()-Y",-0.0352255241130632
"52",1,"walking","fBodyAccJerk-mean()-Z",-0.468999224631579
"53",1,"walking","fBodyAccJerk-std()-X",-0.133586606326316
"54",1,"walking","fBodyAccJerk-std()-Y",0.106739857136
"55",1,"walking","fBodyAccJerk-std()-Z",-0.534713440421053
"56",1,"walking","fBodyAccJerk-meanFreq()-X",-0.209261973376842
"57",1,"walking","fBodyAccJerk-meanFreq()-Y",-0.386237143210526
"58",1,"walking","fBodyAccJerk-meanFreq()-Z",-0.185530281244211
"59",1,"walking","fBodyGyro-mean()-X",-0.339032197115789
"60",1,"walking","fBodyGyro-mean()-Y",-0.103059416434737
"61",1,"walking","fBodyGyro-mean()-Z",-0.255940940315789
"62",1,"walking","fBodyGyro-std()-X",-0.516691938736842
"63",1,"walking","fBodyGyro-std()-Y",-0.0335081597884211
"64",1,"walking","fBodyGyro-std()-Z",-0.436562227473684
"65",1,"walking","fBodyGyro-meanFreq()-X",0.0147844986621053
"66",1,"walking","fBodyGyro-meanFreq()-Y",-0.0657746190010526
"67",1,"walking","fBodyGyro-meanFreq()-Z",0.00077332156431579
"68",1,"walking","fBodyAccMag-mean()",-0.128623450629474
"69",1,"walking","fBodyAccMag-std()",-0.398032586842105
"70",1,"walking","fBodyAccMag-meanFreq()",0.1906437244
"71",1,"walking","fBodyBodyAccJerkMag-mean()",-0.0571194000343158
"72",1,"walking","fBodyBodyAccJerkMag-std()",-0.103492403002105
"73",1,"walking","fBodyBodyAccJerkMag-meanFreq()",0.0938221807027368
"74",1,"walking","fBodyBodyGyroMag-mean()",-0.199252568986316
"75",1,"walking","fBodyBodyGyroMag-std()",-0.321017953894737
"76",1,"walking","fBodyBodyGyroMag-meanFreq()",0.268844367525895
"77",1,"walking","fBodyBodyGyroJerkMag-mean()",-0.319308593778947
"78",1,"walking","fBodyBodyGyroJerkMag-std()",-0.381601911789474
"79",1,"walking","fBodyBodyGyroJerkMag-meanFreq()",0.190663448793684
"80",1,"walking upstairs","tBodyAcc-mean()-X",0.255461689622641
"81",1,"walking upstairs","tBodyAcc-mean()-Y",-0.0239531492643396
"82",1,"walking upstairs","tBodyAcc-mean()-Z",-0.0973020020943396
"83",1,"walking upstairs","tBodyAcc-std()-X",-0.35470802509434
"84",1,"walking upstairs","tBodyAcc-std()-Y",-0.00232026501698113
"85",1,"walking upstairs","tBodyAcc-std()-Z",-0.0194792388471698
"86",1,"walking upstairs","tGravityAcc-mean()-X",0.89335109754717
"87",1,"walking upstairs","tGravityAcc-mean()-Y",-0.362153364339623
"88",1,"walking upstairs","tGravityAcc-mean()-Z",-0.075402939754717
"89",1,"walking upstairs","tGravityAcc-std()-X",-0.956367027924528
"90",1,"walking upstairs","tGravityAcc-std()-Y",-0.952849233207547
"91",1,"walking upstairs","tGravityAcc-std()-Z",-0.912379410377358
"92",1,"walking upstairs","tBodyAccJerk-mean()-X",0.101372729922642
"93",1,"walking upstairs","tBodyAccJerk-mean()-Y",0.0194863076188679
"94",1,"walking upstairs","tBodyAccJerk-mean()-Z",-0.0455625449113208
"95",1,"walking upstairs","tBodyAccJerk-std()-X",-0.446843887735849
"96",1,"walking upstairs","tBodyAccJerk-std()-Y",-0.378274426037736
"97",1,"walking upstairs","tBodyAccJerk-std()-Z",-0.706593530943396
"98",1,"walking upstairs","tBodyGyro-mean()-X",0.050549379754717
"99",1,"walking upstairs","tBodyGyro-mean()-Y",-0.166170015088679
"100",1,"walking upstairs","tBodyGyro-mean()-Z",0.0583595463981132
"101",1,"walking upstairs","tBodyGyro-std()-X",-0.544871104528302
"102",1,"walking upstairs","tBodyGyro-std()-Y",0.00410518379811321
"103",1,"walking upstairs","tBodyGyro-std()-Z",-0.50716867490566
"104",1,"walking upstairs","tBodyGyroJerk-mean()-X",-0.122232768011321
"105",1,"walking upstairs","tBodyGyroJerk-mean()-Y",-0.0421485884509434
"106",1,"walking upstairs","tBodyGyroJerk-mean()-Z",-0.0407125527654717
